timestep,label,group,name,weight,mean,cost,standard_error
0,1_5_minimum_995_99,Test1,SELECT users.* FROM users WHERE users.id=? -- 1,"[0.99, 0.99, 0.99, 0.99, 0.99, 0.01, 0.01, 0.01, 0.01, 0.01]",0.0043151707,0.009220552463838648,0.0009166886544783536
0,1_5_minimum_995_99,Test1,SELECT users.* FROM users WHERE users.firstname = ? -- 0,"[0.99, 0.99, 0.99, 0.99, 0.99, 0.01, 0.01, 0.01, 0.01, 0.01]",0.004412184099999999,0.009220552463838648,0.0008519395849765464
0,1_5_minimum_995_99,Test1,"INSERT INTO users SET id = ?, firstname=?, lastname = ?, nickname=?, password=?,email=?,rating=?,balance=?,creation_date=? -- 2 for i2906147889","[0.99, 0.99, 0.99, 0.99, 0.99, 0.01, 0.01, 0.01, 0.01, 0.01]",0.016019122399999995,0.13329108,0.0009250347089208201
0,1_5_minimum_995_99,Test1,"INSERT INTO users SET id = ?, firstname=?, lastname = ?, nickname=?, password=?,email=?,rating=?,balance=?,creation_date=? -- 2 for i3813239832","[0.99, 0.99, 0.99, 0.99, 0.99, 0.01, 0.01, 0.01, 0.01, 0.01]",0.015797273799999997,0.13329108,0.0008703459419294505
0,1_5_minimum_995_99,Test1,TOTAL,1.0,0.040138313489999994,,NaN
0,1_5_minimum_995_99,Test2,SELECT items.* FROM items WHERE items.id=? -- 4,"[0.01, 0.01, 0.01, 0.01, 0.01, 0.99, 0.99, 0.99, 0.99, 0.99]",0.0040060174999999995,0.009220552463838648,0.0009129442476291655
0,1_5_minimum_995_99,Test2,SELECT items.* FROM items WHERE items.name = ? -- 3,"[0.01, 0.01, 0.01, 0.01, 0.01, 0.99, 0.99, 0.99, 0.99, 0.99]",0.7973895778,0.018441104927677296,0.022493720190055234
0,1_5_minimum_995_99,Test2,"INSERT INTO items SET id = ?, name=?, description = ?, initial_price=?,quantity=?, reserve_price=?, buy_now=?, nb_of_bids=?, max_bid=?,start_date=?,end_date=? -- 5.size for i3717669443","[0.01, 0.01, 0.01, 0.01, 0.01, 0.99, 0.99, 0.99, 0.99, 0.99]",0.0196579224,0.13329108,0.0032502955318050664
0,1_5_minimum_995_99,Test2,"INSERT INTO items SET id = ?, name=?, description = ?, initial_price=?,quantity=?, reserve_price=?, buy_now=?, nb_of_bids=?, max_bid=?,start_date=?,end_date=? -- 5.size for i1661317464","[0.01, 0.01, 0.01, 0.01, 0.01, 0.99, 0.99, 0.99, 0.99, 0.99]",0.014481066599999998,0.13329108,0.0006246204479546348
0,1_5_minimum_995_99,Test2,TOTAL,1.0,0.008355345843,,NaN
