timestep,label,group,name,weight,mean,cost,standard_error
0,1_5_minimum_995_99_static,Test1,SELECT users.* FROM users WHERE users.id=? -- 1,"[0.99, 0.99, 0.99, 0.99, 0.99, 0.01, 0.01, 0.01, 0.01, 0.01]",0.0038918326000000002,0.009220552463838648,0.0009217589328457027
0,1_5_minimum_995_99_static,Test1,SELECT users.* FROM users WHERE users.firstname = ? -- 0,"[0.99, 0.99, 0.99, 0.99, 0.99, 0.01, 0.01, 0.01, 0.01, 0.01]",0.0040732413,0.009220552463838648,0.0007019365280049036
0,1_5_minimum_995_99_static,Test1,"INSERT INTO users SET id = ?, firstname=?, lastname = ?, nickname=?, password=?,email=?,rating=?,balance=?,creation_date=? -- 2 for i2906147889","[0.99, 0.99, 0.99, 0.99, 0.99, 0.01, 0.01, 0.01, 0.01, 0.01]",0.0158773296,0.13329108,0.0007238200379995968
0,1_5_minimum_995_99_static,Test1,"INSERT INTO users SET id = ?, firstname=?, lastname = ?, nickname=?, password=?,email=?,rating=?,balance=?,creation_date=? -- 2 for i3813239832","[0.99, 0.99, 0.99, 0.99, 0.99, 0.01, 0.01, 0.01, 0.01, 0.01]",0.0164810788,0.13329108,0.0008401192175997247
0,1_5_minimum_995_99_static,Test1,TOTAL,1.0,0.039920247477,,NaN
0,1_5_minimum_995_99_static,Test2,SELECT items.* FROM items WHERE items.id=? -- 4,"[0.01, 0.01, 0.01, 0.01, 0.01, 0.99, 0.99, 0.99, 0.99, 0.99]",0.0033854236000000005,0.009220552463838648,0.0007600441463524806
0,1_5_minimum_995_99_static,Test2,SELECT items.* FROM items WHERE items.name = ? -- 3,"[0.01, 0.01, 0.01, 0.01, 0.01, 0.99, 0.99, 0.99, 0.99, 0.99]",0.7625518623999998,0.018441104927677296,0.008277968385194425
0,1_5_minimum_995_99_static,Test2,"INSERT INTO items SET id = ?, name=?, description = ?, initial_price=?,quantity=?, reserve_price=?, buy_now=?, nb_of_bids=?, max_bid=?,start_date=?,end_date=? -- 5.size for i1888493477","[0.01, 0.01, 0.01, 0.01, 0.01, 0.99, 0.99, 0.99, 0.99, 0.99]",0.016286894199999995,0.13329108,0.0007406274533804247
0,1_5_minimum_995_99_static,Test2,"INSERT INTO items SET id = ?, name=?, description = ?, initial_price=?,quantity=?, reserve_price=?, buy_now=?, nb_of_bids=?, max_bid=?,start_date=?,end_date=? -- 5.size for i1661317464","[0.01, 0.01, 0.01, 0.01, 0.01, 0.99, 0.99, 0.99, 0.99, 0.99]",0.015586507100000003,0.13329108,0.0012080868436745251
0,1_5_minimum_995_99_static,Test2,TOTAL,1.0,0.007978106872999999,,NaN
0,1_5_minimum_995_99_static,TOTAL,TOTAL,1.0,0.04789835435,,NaN
timestep,label,group,name,weight,mean,cost,standard_error
1,1_5_minimum_995_99_static,Test1,SELECT users.* FROM users WHERE users.id=? -- 1,"[0.99, 0.99, 0.99, 0.99, 0.99, 0.01, 0.01, 0.01, 0.01, 0.01]",0.0027566438,0.009220552463838648,0.00044171513004322887
1,1_5_minimum_995_99_static,Test1,SELECT users.* FROM users WHERE users.firstname = ? -- 0,"[0.99, 0.99, 0.99, 0.99, 0.99, 0.01, 0.01, 0.01, 0.01, 0.01]",0.0047461484,0.009220552463838648,0.0020749967256596022
1,1_5_minimum_995_99_static,Test1,"INSERT INTO users SET id = ?, firstname=?, lastname = ?, nickname=?, password=?,email=?,rating=?,balance=?,creation_date=? -- 2 for i2906147889","[0.99, 0.99, 0.99, 0.99, 0.99, 0.01, 0.01, 0.01, 0.01, 0.01]",0.014048730600000003,0.13329108,0.0003263415135470883
1,1_5_minimum_995_99_static,Test1,"INSERT INTO users SET id = ?, firstname=?, lastname = ?, nickname=?, password=?,email=?,rating=?,balance=?,creation_date=? -- 2 for i3813239832","[0.99, 0.99, 0.99, 0.99, 0.99, 0.01, 0.01, 0.01, 0.01, 0.01]",0.014442213,0.13329108,0.0006889281267346476
1,1_5_minimum_995_99_static,Test1,TOTAL,1.0,0.035633798442,,NaN
1,1_5_minimum_995_99_static,Test2,SELECT items.* FROM items WHERE items.id=? -- 4,"[0.01, 0.01, 0.01, 0.01, 0.01, 0.99, 0.99, 0.99, 0.99, 0.99]",0.0020057504,0.009220552463838648,0.0001391514375647545
