(eval):19: warning: constant ::FALSE is deprecated
(eval):45: warning: constant ::TRUE is deprecated
clearing keyspace: tpch
CREATE COLUMNFAMILY "i2386081023" ("region_r_name" text, "nation_n_name" text, "part_p_type" text, "orders_o_orderdate" timestamp, "region_r_regionkey" uuid, "nation_n_nationkey" uuid, "customer_c_custkey" uuid, "orders_o_orderkey" uuid, "lineitem_l_linenumber" uuid, "partsupp_ps_partkey" uuid, "part_p_partkey" uuid, "lineitem_l_extendedprice" float, "lineitem_l_discount" float, "value_hash" text, PRIMARY KEY(("region_r_name"), "nation_n_name", "part_p_type", "orders_o_orderdate", "region_r_regionkey", "nation_n_nationkey", "customer_c_custkey", "orders_o_orderkey", "lineitem_l_linenumber", "partsupp_ps_partkey", "part_p_partkey", value_hash)) WITH gc_grace_seconds=30;
CREATE COLUMNFAMILY "i3198637182" ("region_r_name" text, "orders_o_orderdate" timestamp, "customer_c_custkey" uuid, "lineitem_l_linenumber" uuid, "nation_n_nationkey" uuid, "orders_o_orderkey" uuid, "region_r_regionkey" uuid, "nation_n_name" text, "lineitem_l_extendedprice" float, "lineitem_l_discount" float, "value_hash" text, PRIMARY KEY(("region_r_name"), "orders_o_orderdate", "customer_c_custkey", "lineitem_l_linenumber", "nation_n_nationkey", "orders_o_orderkey", "region_r_regionkey", value_hash)) WITH gc_grace_seconds=30;
CREATE COLUMNFAMILY "i161745760" ("customer_c_mktsegment" text, "lineitem_l_shipdate" timestamp, "customer_c_custkey" uuid, "lineitem_l_linenumber" uuid, "orders_o_orderkey" uuid, "orders_o_orderdate" timestamp, "orders_o_shippriority" int, "lineitem_l_extendedprice" float, "lineitem_l_discount" float, "value_hash" text, PRIMARY KEY(("customer_c_mktsegment"), "lineitem_l_shipdate", "customer_c_custkey", "lineitem_l_linenumber", "orders_o_orderkey", value_hash)) WITH gc_grace_seconds=30;
 INFO  nose::loader::mysqlloader : i2386081023 [region.r_name] [nation.n_name, part.p_type, orders.o_orderdate, region.r_regionkey, nation.n_nationkey, customer.c_custkey, orders.o_orderkey, lineitem.l_linenumber, partsupp.ps_partkey, part.p_partkey] → [lineitem.l_extendedprice, lineitem.l_discount]  $166 Graph(nodes: part, partsupp, lineitem, orders, customer, nation, region, edges: {part=>#<Set: {part.from_partsupp}>, partsupp=>#<Set: {partsupp.ps_partkey, partsupp.from_lineitem}>, lineitem=>#<Set: {lineitem.l_partkey, lineitem.l_orderkey}>, orders=>#<Set: {orders.from_lineitem, orders.o_custkey}>, customer=>#<Set: {customer.from_orders, customer.c_nationkey}>, nation=>#<Set: {nation.from_customer, nation.n_regionkey}>, region=>#<Set: {region.from_nation}>})
 INFO  nose::loader::mysqlloader : i3198637182 [region.r_name] [orders.o_orderdate, customer.c_custkey, lineitem.l_linenumber, nation.n_nationkey, orders.o_orderkey, region.r_regionkey] → [nation.n_name, lineitem.l_extendedprice, lineitem.l_discount]  $124 Graph(nodes: lineitem, orders, customer, nation, region, edges: {lineitem=>#<Set: {lineitem.l_orderkey}>, orders=>#<Set: {orders.from_lineitem, orders.o_custkey}>, customer=>#<Set: {customer.from_orders, customer.c_nationkey}>, nation=>#<Set: {nation.from_customer, nation.n_regionkey}>, region=>#<Set: {region.from_nation}>})
 INFO  nose::loader::mysqlloader : i161745760 [customer.c_mktsegment] [lineitem.l_shipdate, customer.c_custkey, lineitem.l_linenumber, orders.o_orderkey] → [orders.o_orderdate, orders.o_shippriority, lineitem.l_extendedprice, lineitem.l_discount]  $98 Graph(nodes: lineitem, orders, customer, edges: {lineitem=>#<Set: {lineitem.l_orderkey}>, orders=>#<Set: {orders.from_lineitem, orders.o_custkey}>, customer=>#<Set: {customer.from_orders}>})
SELECT DISTINCT region.r_name AS region_r_name, nation.n_name AS nation_n_name, part.p_type AS part_p_type, orders.o_orderdate AS orders_o_orderdate, region.r_regionkey AS region_r_regionkey, nation.n_nationkey AS nation_n_nationkey, customer.c_custkey AS customer_c_custkey, orders.o_orderkey AS orders_o_orderkey, lineitem.l_linenumber AS lineitem_l_linenumber, partsupp.ps_partkey AS partsupp_ps_partkey, part.p_partkey AS part_p_partkey, lineitem.l_extendedprice AS lineitem_l_extendedprice, lineitem.l_discount AS lineitem_l_discount FROM part JOIN partsupp JOIN lineitem JOIN orders JOIN customer JOIN nation JOIN region WHERE partsupp.ps_partkey=part.p_partkey AND lineitem.l_partkey=partsupp.ps_partkey AND lineitem.l_suppkey=partsupp.ps_suppkey  AND lineitem.l_orderkey=orders.o_orderkey AND orders.o_custkey=customer.c_custkey AND customer.c_nationkey=nation.n_nationkey AND nation.n_regionkey=region.r_regionkey
SELECT DISTINCT region.r_name AS region_r_name, orders.o_orderdate AS orders_o_orderdate, customer.c_custkey AS customer_c_custkey, lineitem.l_linenumber AS lineitem_l_linenumber, nation.n_nationkey AS nation_n_nationkey, orders.o_orderkey AS orders_o_orderkey, region.r_regionkey AS region_r_regionkey, nation.n_name AS nation_n_name, lineitem.l_extendedprice AS lineitem_l_extendedprice, lineitem.l_discount AS lineitem_l_discount FROM lineitem JOIN orders JOIN customer JOIN nation JOIN region WHERE lineitem.l_orderkey=orders.o_orderkey AND orders.o_custkey=customer.c_custkey AND customer.c_nationkey=nation.n_nationkey AND nation.n_regionkey=region.r_regionkey
SELECT DISTINCT customer.c_mktsegment AS customer_c_mktsegment, lineitem.l_shipdate AS lineitem_l_shipdate, customer.c_custkey AS customer_c_custkey, lineitem.l_linenumber AS lineitem_l_linenumber, orders.o_orderkey AS orders_o_orderkey, orders.o_orderdate AS orders_o_orderdate, orders.o_shippriority AS orders_o_shippriority, lineitem.l_extendedprice AS lineitem_l_extendedprice, lineitem.l_discount AS lineitem_l_discount FROM lineitem JOIN orders JOIN customer WHERE lineitem.l_orderkey=orders.o_orderkey AND orders.o_custkey=customer.c_custkey
284.505316261 query for 6001215
288.01701402 query for 6001215
321.911497128 query for 6001215
  insert through csv: i161745760, /tmp/d20210205-11961-5iafq2/i161745760_0.csv, 1000000
  insert through csv: i161745760, /tmp/d20210205-11963-1nd9hom/i161745760_1.csv, 1000000
*** Processing i161745760_0.csv
Lines Processed: 	100000  Rate: 	50000.0 (50000.0)
*** Processing i161745760_1.csv
  insert through csv: i161745760, /tmp/d20210205-11962-h1vblh/i161745760_2.csv, 1000000
Lines Processed: 	200000  Rate: 	50000.0 (50000.0)
Lines Processed: 	100000  Rate: 	50000.0 (50000.0)
Lines Processed: 	300000  Rate: 	50000.0 (100000.0)
Lines Processed: 	200000  Rate: 	50000.0 (50000.0)
*** Processing i161745760_2.csv
Lines Processed: 	400000  Rate: 	50000.0 (50000.0)
Lines Processed: 	300000  Rate: 	50000.0 (100000.0)
Lines Processed: 	500000  Rate: 	50000.0 (100000.0)
Lines Processed: 	100000  Rate: 	50000.0 (50000.0)
Lines Processed: 	400000  Rate: 	50000.0 (50000.0)
Lines Processed: 	600000  Rate: 	46153.846153846156 (33333.333333333336)
Lines Processed: 	200000  Rate: 	33333.333333333336 (33333.333333333336)
Lines Processed: 	500000  Rate: 	45454.545454545456 (33333.333333333336)
Lines Processed: 	700000  Rate: 	43750.0 (50000.0)
Lines Processed: 	300000  Rate: 	37500.0 (50000.0)
Lines Processed: 	600000  Rate: 	42857.142857142855 (50000.0)
Lines Processed: 	800000  Rate: 	44444.444444444445 (50000.0)
Lines Processed: 	400000  Rate: 	36363.63636363636 (50000.0)
Lines Processed: 	700000  Rate: 	41176.470588235294 (50000.0)
Lines Processed: 	900000  Rate: 	42857.142857142855 (50000.0)
Lines Processed: 	500000  Rate: 	35714.28571428572 (50000.0)
Lines Processed: 	800000  Rate: 	42105.26315789474 (50000.0)
Lines Processed: 	1000000  Rate: 	41666.666666666664 (50000.0)
Lines Processed: 	600000  Rate: 	37500.0 (50000.0)
Lines Processed: 	900000  Rate: 	40909.09090909091 (50000.0)
*** DONE: i161745760_0.csv  number of lines processed: 1000001 (1000000 inserted)
Lines Processed: 	999999  Rate: 	41666.625
Lines Processed: 	700000  Rate: 	38888.88888888889 (50000.0)
Lines Processed: 	1000000  Rate: 	41666.666666666664 (50000.0)
*** DONE: i161745760_1.csv  number of lines processed: 1000001 (1000000 inserted)
Lines Processed: 	999999  Rate: 	41666.625
Lines Processed: 	800000  Rate: 	40000.0 (100000.0)
Lines Processed: 	900000  Rate: 	40909.09090909091 (100000.0)
Lines Processed: 	1000000  Rate: 	41666.666666666664 (100000.0)
*** DONE: i161745760_2.csv  number of lines processed: 1000001 (1000000 inserted)
Lines Processed: 	999999  Rate: 	41666.625
  insert through csv: i3198637182, /tmp/d20210205-12492-1w39ook/i3198637182_1.csv, 1000000
  insert through csv: i3198637182, /tmp/d20210205-12493-14uhbfs/i3198637182_0.csv, 1000000
  insert through csv: i3198637182, /tmp/d20210205-12491-1k38y4r/i3198637182_2.csv, 1000000
*** Processing i3198637182_0.csv
*** Processing i3198637182_1.csv
*** Processing i3198637182_2.csv
Lines Processed: 	100000  Rate: 	50000.0 (50000.0)
  insert through csv: i161745760, /tmp/d20210205-11961-1jjryzh/i161745760_3.csv, 1000000
Lines Processed: 	100000  Rate: 	50000.0 (50000.0)
Lines Processed: 	100000  Rate: 	33333.333333333336 (33333.333333333336)
  insert through csv: i161745760, /tmp/d20210205-11963-1sdu90c/i161745760_4.csv, 1000000
Lines Processed: 	200000  Rate: 	50000.0 (50000.0)
Lines Processed: 	200000  Rate: 	50000.0 (50000.0)
*** Processing i161745760_3.csv
Lines Processed: 	200000  Rate: 	40000.0 (50000.0)
Lines Processed: 	300000  Rate: 	42857.142857142855 (50000.0)
*** Processing i161745760_4.csv
Lines Processed: 	300000  Rate: 	42857.142857142855 (50000.0)
Lines Processed: 	100000  Rate: 	50000.0 (50000.0)
Lines Processed: 	300000  Rate: 	37500.0 (50000.0)
  insert through csv: i161745760, /tmp/d20210205-11962-1w0i1mw/i161745760_5.csv, 1000000
Lines Processed: 	400000  Rate: 	44444.444444444445 (50000.0)
Lines Processed: 	200000  Rate: 	50000.0 (50000.0)
Lines Processed: 	400000  Rate: 	44444.444444444445 (50000.0)
Lines Processed: 	100000  Rate: 	33333.333333333336 (33333.333333333336)
Lines Processed: 	400000  Rate: 	40000.0 (100000.0)
Lines Processed: 	500000  Rate: 	45454.545454545456 (50000.0)
Lines Processed: 	300000  Rate: 	50000.0 (50000.0)
Lines Processed: 	500000  Rate: 	41666.666666666664 (50000.0)
Lines Processed: 	200000  Rate: 	50000.0 (100000.0)
Lines Processed: 	500000  Rate: 	41666.666666666664 (50000.0)
Lines Processed: 	600000  Rate: 	46153.846153846156 (50000.0)
Lines Processed: 	400000  Rate: 	50000.0 (50000.0)
Lines Processed: 	600000  Rate: 	42857.142857142855 (50000.0)
Lines Processed: 	300000  Rate: 	50000.0 (100000.0)
*** Processing i161745760_5.csv
Lines Processed: 	600000  Rate: 	42857.142857142855 (50000.0)
Lines Processed: 	700000  Rate: 	43750.0 (50000.0)
Lines Processed: 	500000  Rate: 	45454.545454545456 (50000.0)
Lines Processed: 	700000  Rate: 	43750.0 (50000.0)
Lines Processed: 	400000  Rate: 	44444.444444444445 (50000.0)
Lines Processed: 	100000  Rate: 	25000.0 (25000.0)
Lines Processed: 	700000  Rate: 	41176.470588235294 (50000.0)
Lines Processed: 	800000  Rate: 	44444.444444444445 (50000.0)
Lines Processed: 	800000  Rate: 	42105.26315789474 (33333.333333333336)
Lines Processed: 	600000  Rate: 	42857.142857142855 (33333.333333333336)
Lines Processed: 	500000  Rate: 	41666.666666666664 (33333.333333333336)
Lines Processed: 	800000  Rate: 	40000.0 (50000.0)
Lines Processed: 	200000  Rate: 	28571.428571428572 (33333.333333333336)
Lines Processed: 	900000  Rate: 	42857.142857142855 (50000.0)
Lines Processed: 	900000  Rate: 	40909.09090909091 (50000.0)
Lines Processed: 	700000  Rate: 	38888.88888888889 (33333.333333333336)
Lines Processed: 	600000  Rate: 	37500.0 (33333.333333333336)
Lines Processed: 	900000  Rate: 	39130.434782608696 (50000.0)
Lines Processed: 	1000000  Rate: 	41666.666666666664 (50000.0)
Lines Processed: 	1000000  Rate: 	41666.666666666664 (50000.0)
Lines Processed: 	300000  Rate: 	30000.0 (33333.333333333336)
*** DONE: i3198637182_1.csv  number of lines processed: 1000001 (1000000 inserted)
Lines Processed: 	999999  Rate: 	38461.5
